pH,Hardness,Solids,Chloramines,Sulfate,Conductivity,Turbidity
7.1465,112.7227,23203.8511,7.2939,214.3297,327.5639,5.1702
5.8405,167.1349,21048.5215,5.9557,245.8557,478.0065,4.4431
7.0368,111.5436,19380.4523,13.0,259.2849,542.145,2.193
7.747,182.8063,10437.6499,9.7202,264.9712,572.2047,3.9401
9.1767,175.3573,31607.4204,4.5109,369.5116,649.217,3.2921
8.4389,262.3728,34457.5731,7.4657,381.9543,347.8406,4.3972
10.2298,304.8247,6538.7304,5.784,266.2661,645.9376,3.0288
5.849,311.6547,11807.7713,4.971,367.8788,391.6635,2.7691
8.3085,155.0266,17761.5173,4.3199,308.6129,372.6028,1.5222
7.275,183.2623,12283.6976,7.8644,285.1605,446.1658,5.4662
10.2847,65.3249,24047.7244,5.6372,352.5235,373.4351,3.5203
5.7876,135.5304,14173.8224,8.9357,285.7802,451.9235,4.1886
5.7404,277.1881,37320.4485,8.9876,444.6249,314.3938,3.9973
6.1009,329.2466,29524.3888,9.7478,164.9271,400.8998,2.7191
4.0,101.2521,21700.5922,5.2952,238.7863,522.8466,2.4891
6.2114,152.6029,28215.8901,7.9507,269.8785,415.4351,2.7936
5.8613,197.8875,28847.2034,8.2649,315.1562,431.3277,3.1322
7.2256,222.4129,15488.4201,6.0516,381.4368,458.0207,4.4399
7.5126,135.2317,13470.262,5.4565,278.0481,513.6529,3.0451
9.8143,233.9249,20625.1445,10.219,166.2216,287.582,6.0958
8.4256,162.0929,26893.089,7.455,347.4011,466.7619,5.2326
6.1346,198.8438,21112.4832,8.2719,340.3967,398.5489,4.97
5.6524,243.7027,7384.0281,5.3558,124.6513,433.331,3.8564
7.7379,200.5138,13577.4044,4.5614,279.6957,504.796,5.8171
5.0197,165.0891,19408.2171,5.8611,152.7887,324.4651,3.7384
9.7472,191.2312,19394.6752,6.752,226.8279,338.9884,3.9625
8.7692,192.931,35780.3374,4.8716,207.7753,265.1656,4.204
